"peak.num","subclass","Title","Compound","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score"
1822,"MMPE","MMPE 49:15","MMPE 22:6_27:9",912.558,6.41004,"[M-H]-",0.75,0.0198049975,0.5,0.5,1.7698049975
1822,"MMPE","MMPE 49:15","MMPE 22:4_27:11",912.558,6.41004,"[M-H]-",0.75,0.0179675125,0.5,0.5,1.7679675125
1822,"DMPE","DMPE 48:15","DMPE 22:6_26:9",912.558,6.41004,"[M-H]-",0.75,0.0373254475,0.5,0.5,1.7873254475
1822,"DMPE","DMPE 48:15","DMPE 22:4_26:11",912.558,6.41004,"[M-H]-",0.75,0.0354879625,0.5,0.5,1.7854879625
1883,"PEtOH","PEtOH 51:15","PEtOH 22:4_29:11",911.564,6.58393,"[M-H]-",0.75,0.0331658175,0.5,0.5,1.7831658175
1883,"PA","PA 53:15","PA 22:4_31:11",911.564,6.58393,"[M-H]-",0.75,0.0357707425,0.5,0.5,1.7857707425
1883,"PMeOH","PMeOH 52:15","PMeOH 22:4_30:11",911.564,6.58393,"[M-H]-",0.75,0.0331658175,0.5,0.5,1.7831658175
1883,"PI","PI 40:5","PI 18:0_22:5",911.564,6.58393,"[M-H]-",1,0.0416980175,0.874990899718634,0.874990899718635,2.79167981693727
1883,"PI","PI 40:5","PI 18:1_22:4",911.564,6.58393,"[M-H]-",1,0.0269759075,0.874990899718634,0.874990899718635,2.77695770693727
2048,"PI","PI 40:5","PI 20:2_20:3",911.564,7.06692,"[M-H]-",0.5,0.00512081,0.5,0.5,1.50512081
2048,"PI","PI 40:5","PI 20:3_20:2",911.564,7.06692,"[M-H]-",0.5,0.00512081,0.5,0.5,1.50512081
1913,"PA","PA 53:15","PA 22:6_31:9",911.564,6.66886,"[M-H]-",0.5,0.0019674575,0.5,0.5,1.5019674575
1965,"PA","PA 53:15","PA 24:4_29:11",911.563,6.82223,"[M-H]-",0.5,0.0029280175,0.5,0.5,1.5029280175
1965,"PA","PA 53:15","PA 24:5_29:10",911.563,6.82223,"[M-H]-",0.5,0.00271406,0.5,0.5,1.50271406
1965,"PI","PI 40:5","PI 16:0_24:5",911.563,6.82223,"[M-H]-",0.75,0.0048995775,0.5,0.5,1.7548995775
1965,"PI","PI 40:5","PI 16:1_24:4",911.563,6.82223,"[M-H]-",0.75,0.005113535,0.5,0.5,1.755113535
1965,"PI","PI 40:5","PI 20:1_20:4",911.563,6.82223,"[M-H]-",1,0.0115986675,0.5,0.5,2.0115986675
1965,"PI","PI 40:5","PI 20:4_20:1",911.563,6.82223,"[M-H]-",1,0.0115986675,0.5,0.5,2.0115986675
2022,"PA","PA 53:15","PA 22:5_31:10",911.563,6.99049,"[M-H]-",0.875,0.0426867825,0.5,0.5,1.9176867825
2022,"PEtOH","PEtOH 51:15","PEtOH 22:5_29:10",911.563,6.99049,"[M-H]-",0.75,0.0387052625,0.5,0.5,1.7887052625
2022,"PMeOH","PMeOH 52:15","PMeOH 22:5_30:10",911.563,6.99049,"[M-H]-",0.75,0.0387052625,0.5,0.5,1.7887052625
1778,"PI","PI 40:6","PI 18:0_22:6",909.549,6.27963,"[M-H]-",1,0.03824017,0.5,0.5,2.03824017
1778,"PI","PI 40:6","PI 18:1_22:5",909.549,6.27963,"[M-H]-",1,0.02607259,0.5,0.5,2.02607259
1668,"PA","PA 53:16","PA 22:6_31:10",909.548,5.94328,"[M-H]-",0.5,0.0037589935,0.5,0.5,1.5037589935
1668,"PI","PI 40:6","PI 16:0_24:6",909.548,5.94328,"[M-H]-",0.75,0.0059197975,0.5,0.5,1.7559197975
1719,"PA","PA 53:16","PA 22:5_31:11",909.547,6.09652,"[M-H]-",0.75,0.02481468,0.5,0.5,1.77481468
1719,"PEtOH","PEtOH 51:16","PEtOH 22:5_29:11",909.547,6.09652,"[M-H]-",0.75,0.022760955,0.5,0.5,1.772760955
1719,"PMeOH","PMeOH 52:16","PMeOH 22:5_30:11",909.547,6.09652,"[M-H]-",0.75,0.022760955,0.5,0.5,1.772760955
1719,"PI","PI 40:6","PI 20:2_20:4",909.547,6.09652,"[M-H]-",1,0.021546925,0.5,0.5,2.021546925
1719,"PI","PI 40:6","PI 20:4_20:2",909.547,6.09652,"[M-H]-",1,0.021546925,0.5,0.5,2.021546925
1619,"PA","PA 53:17","PA 22:5_31:12",907.533,5.79984,"[M-H]-",0.5,0.00683674,0.5,0.5,1.50683674
1619,"PA","PA 53:17","PA 22:4_31:13",907.533,5.79984,"[M-H]-",0.5,0.0029250375,0.5,0.5,1.5029250375
1619,"PI","PI 40:7","PI 16:2_24:5",907.533,5.79984,"[M-H]-",0.75,0.00648191,0.5,0.5,1.75648191
1619,"PI","PI 40:7","PI 18:2_22:5",907.533,5.79984,"[M-H]-",1,0.0110703225,0.5,0.5,2.0110703225
1619,"PI","PI 40:7","PI 18:3_22:4",907.533,5.79984,"[M-H]-",0.75,0.00657272,0.5,0.5,1.75657272
1604,"PA","PA 53:17","PA 22:7_31:10",907.533,5.75494,"[M-H]-",0.75,0.03012251,0.5,0.5,1.78012251
1604,"PEtOH","PEtOH 51:17","PEtOH 22:7_29:10",907.533,5.75494,"[M-H]-",0.75,0.02850646,0.5,0.5,1.77850646
1604,"PMeOH","PMeOH 52:17","PMeOH 22:7_30:10",907.533,5.75494,"[M-H]-",0.75,0.02850646,0.5,0.5,1.77850646
1604,"PI","PI 40:7","PI 18:0_22:7",907.533,5.75494,"[M-H]-",1,0.02140872,0.5,0.5,2.02140872
1604,"PI","PI 40:7","PI 20:3_20:4",907.533,5.75494,"[M-H]-",1,0.0200479,0.5,0.5,2.0200479
1604,"PI","PI 40:7","PI 20:4_20:3",907.533,5.75494,"[M-H]-",1,0.0200479,0.5,0.5,2.0200479
1562,"PA","PA 53:17","PA 24:5_29:12",907.532,5.63197,"[M-H]-",0.5,0.00354603,0.5,0.5,1.50354603
1544,"PA","PA 53:17","PA 22:6_31:11",907.532,5.58225,"[M-H]-",0.875,0.037246875,0.5,0.5,1.912246875
1544,"PEtOH","PEtOH 51:17","PEtOH 22:6_29:11",907.532,5.58225,"[M-H]-",0.75,0.0324394,0.5,0.5,1.7824394
1544,"PMeOH","PMeOH 52:17","PMeOH 22:6_30:11",907.532,5.58225,"[M-H]-",0.75,0.0324394,0.5,0.5,1.7824394
1544,"PI","PI 40:7","PI 18:1_22:6",907.532,5.58225,"[M-H]-",1,0.0391761025,0.5,0.5,2.0391761025
1419,"PS","PS 46:12","PS 22:6_24:6",906.526,5.19085,"[M-H]-",1,0.02436382,0.5,0.5,2.02436382
1332,"PA","PA 53:18","PA 22:6_31:12",905.515,4.90017,"[M-H]-",0.75,0.010440195,0.5,0.5,1.760440195
1332,"PMeOH","PMeOH 52:18","PMeOH 22:6_30:12",905.515,4.90017,"[M-H]-",0.75,0.00951432,0.5,0.5,1.75951432
1332,"PI","PI 40:8","PI 18:2_22:6",905.515,4.90017,"[M-H]-",1,0.0076724025,0.5,0.5,2.0076724025
1373,"PI","PI 40:8","PI 20:4_20:4",905.514,5.04364,"[M-H]-",1,0.02965052,0.5,0.5,2.02965052
2063,"PI","PI 39:4","PI 19:0_20:4",899.565,7.1069,"[M-H]-",1,0.0312021975,0.874985817521195,0.874985817521195,2.78117383254239
2108,"PEtOH","PEtOH 50:14","PEtOH 20:4_30:10",899.564,7.24513,"[M-H]-",0.75,0.031807225,0.855820701747873,0.855820701747873,2.49344862849575
1798,"PI","PI 39:5","PI 19:1_20:4",897.549,6.34208,"[M-H]-",1,0.0272774575,0.874980133109619,0.874980133109619,2.77723772371924
1845,"PI","PI 39:5","PI 16:0_23:5",897.549,6.47924,"[M-H]-",0.75,0.0101985075,0.5,0.5,1.7601985075
1985,"PI-O","PI-O 40:6","PI-O 18:0_22:6",895.568,6.8825,"[M-H]-",1,0.057860325,0.5,0.5,2.057860325
1665,"PA","PA 52:16","PA 22:6_30:10",895.532,5.93546,"[M-H]-",0.875,0.037428975,0.5,0.5,1.912428975
1665,"PEtOH","PEtOH 50:16","PEtOH 20:4_30:12",895.532,5.93546,"[M-H]-",0.75,0.0294787395,0.5,0.5,1.7794787395
1665,"PEtOH","PEtOH 50:16","PEtOH 22:6_28:10",895.532,5.93546,"[M-H]-",0.75,0.03292163,0.5,0.5,1.78292163
1665,"PMeOH","PMeOH 51:16","PMeOH 22:6_29:10",895.532,5.93546,"[M-H]-",0.75,0.03292163,0.5,0.5,1.78292163
1665,"PI","PI 39:6","PI 17:0_22:6",895.532,5.93546,"[M-H]-",1,0.0409868975,0.5,0.5,2.0409868975
1665,"PI","PI 39:6","PI 18:1_21:5",895.532,5.93546,"[M-H]-",0.75,0.02516842,0.5,0.5,1.77516842
