"peak.num","subclass","Title","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score","top_n"
904,"LPE","LPE 20:3_CAH_LPE 20:3",502.294,1.9441,"[M-H]-",0.75,0.0559,0.5,0.5,1.8059,"Top 1"
2194,"O2xFA","O2xFA 32:4;O2_CAH_O2xFA 32:4;O2",503.411,5.0118,"[M-H]-",0.5,0.0705,0.234253067664791,0.874917611756706,1.6796706794215,"Top 1"
465,"LPG","LPG 18:1_CAH_LPG 18:1",509.288,1.3125,"[M-H]-",0.75,0.1155,0.5,0.5,1.8655,"Top 1"
689,"LPE","LPE 22:6_CAH_LPE 22:6",524.278,1.6838,"[M-H]-",1,0.0706,0.5,0.5,2.0706,"Top 1"
2099,"LPC","LPC 22:0_CAH_LPC 22:0",624.425,4.4075,"[M+HCOO]-",0.75,0.1001,0.874851117789584,0.874851117789583,2.59980223557917,"Top 1"
2184,"O2xFA","O2xFA 34:5;O2_CAH_O2xFA 34:5;O2",529.426,4.9585,"[M-H]-",1,0.2385,0.874766953719016,0.874766953719016,2.98803390743803,"Top 1"
417,"LPI","LPI 20:4_CAH_LPI 20:4",619.289,1.2408,"[M-H]-",1,0.0387,0.5,0.5,2.0387,"Top 1"
925,"LPC","LPC 22:4_CAH_LPC 22:4",616.362,1.9707,"[M+HCOO]-",0.75,0.1179,0.5,0.5,1.8679,"Top 1"
4170,"Cer","Cer 34:1_CAH_Cer 18:1;2O/16:0",536.505,8.5382,"[M-H]-",1,0.0498,0.874946885762654,0.874946885762654,2.79969377152531,"Top 1"
649,"LPC","LPC 16:1_CAH_LPC 16:1",538.315,1.6322,"[M+HCOO]-",0.75,0.1161,0.5,0.5,1.8661,"Top 1"
648,"LPC","LPC 22:6_CAH_LPC 22:6",612.33,1.6315,"[M+HCOO]-",0.75,0.0753,0.5,0.5,1.8253,"Top 1"
1020,"LPC","LPC 16:0_CAH_LPC 16:0",540.33,2.0908,"[M+HCOO]-",0.75,0.1046,0.84330411890209,0.843304118902092,2.54120823780418,"Top 1"
1045,"LPC","LPC 17:0_CAH_LPC 17:0",554.346,2.1222,"[M+HCOO]-",0.75,0.0343,0.842196358495438,0.842196358495437,2.46869271699087,"Top 1"
585,"LPI","LPI 18:0_CAH_LPI 18:0",599.32,1.5323,"[M-H]-",1,0.0937,0.5,0.5,2.0937,"Top 1"
4150,"OxFA","OxFA 38:12;(2OH)_CAH_OxFA 38:12;(2OH)",555.384,8.5132,"[M-H]-",1,0.1713,0.5,0.5,2.1713,"Top 1"
2252,"O2xFA","O2xFA 36:6;O2_CAH_O2xFA 36:6;O2",555.442,5.1913,"[M-H]-",0.5,0.0388,0.871739638008241,0.8749798386002,2.28551947660844,"Top 1"
491,"LPI","LPI 18:1_CAH_LPI 18:1",597.305,1.3567,"[M-H]-",1,0.0752,0.5,0.5,2.0752,"Top 1"
2371,"O2xFA","O2xFA 36:5;O2_CAH_O2xFA 36:5;O2",557.457,5.6333,"[M-H]-",1,0.2325,0.874906939170601,0.874906939170601,2.9823138783412,"Top 1"
425,"LPI","LPI 18:2_CAH_LPI 18:2",595.289,1.2469,"[M-H]-",1,0.0418,0.5,0.5,2.0418,"Top 1"
2939,"O2xFA","O2xFA 36:4;O2_CAH_O2xFA 36:4;O2",559.473,6.7616,"[M-H]-",0.5,0.0371,0.859339800585127,0.874985394193126,2.27142519477825,"Top 1"
597,"LPC","LPC 18:3_CAH_LPC 18:3",562.315,1.5594,"[M+HCOO]-",0.75,0.1183,0.5,0.5,1.8683,"Top 1"
5417,"Cer","Cer 38:1_CAH_Cer 18:1;2O/20:0",592.567,10.3183,"[M-H]-",0.75,0.0335,0.874710136031391,0.874710136031391,2.53292027206278,"Top 1"
647,"OxPE","OxPE 25:8;O_CAH_OxPE 8:7_17:1;O",592.265,1.6307,"[M-H]-",0.5,0.0272,0.5,0.5,1.5272,"Top 1"
831,"LPC","LPC 18:2_CAH_LPC 18:2",564.33,1.8569,"[M+HCOO]-",0.75,0.0848,0.5,0.5,1.8348,"Top 1"
890,"LPC","LPC 20:3_CAH_LPC 20:3",590.345,1.9282,"[M+HCOO]-",0.75,0.0706,0.5,0.5,1.8206,"Top 1"
1477,"LPC","LPC 18:0_CAH_LPC 18:0",568.362,2.7526,"[M+HCOO]-",0.75,0.0538,0.872908261169043,0.872908261169044,2.54961652233809,"Top 1"
543,"LPA","LPA 30:18_CAH_LPA 30:18",569.171,1.4717,"[M-H]-",1,0.0255,0.5,0.5,2.0255,"Top 1"
584,"LPC","LPC 20:5_CAH_LPC 20:5",586.315,1.5315,"[M+HCOO]-",0.75,0.104,0.5,0.5,1.854,"Top 1"
1673,"FAHFA","FAHFA 38:4_CAH_FAHFA 20:4/18:0;O",585.486,3.0579,"[M-H]-",0.75,0.1425,0.5,0.5,1.8925,"Top 1"
