"input[, 1]","BC_1","BC_10","BC_11","BC_12","BC_13","BC_14","BC_15","BC_16","BC_17","BC_18","BC_19","BC_2","BC_20","BC_21","BC_22","BC_23","BC_24","BC_25","BC_26","BC_27","BC_28","BC_29","BC_3","BC_30","BC_31","BC_32","BC_33","BC_34","BC_35","BC_36","BC_37","BC_38","BC_39","BC_4","BC_40","BC_41","BC_42","BC_43","BC_44","BC_45","BC_46","BC_47","BC_48","BC_49","BC_5","BC_50","BC_51","BC_52","BC_53","BC_54","BC_55","BC_56","BC_57","BC_58","BC_59","BC_6","BC_60","BC_61","BC_62","BC_63","BC_64","BC_65","BC_66","BC_67","BC_68","BC_69","BC_7","BC_70","BC_71","BC_72","BC_73","BC_74","BC_75","BC_76","BC_8","BC_9","HD_1","HD_10","HD_11","HD_12","HD_13","HD_14","HD_15","HD_16","HD_17","HD_18","HD_19","HD_2","HD_20","HD_21","HD_22","HD_23","HD_24","HD_25","HD_26","HD_27","HD_28","HD_29","HD_3","HD_30","HD_31","HD_32","HD_33","HD_34","HD_35","HD_36","HD_37","HD_38","HD_39","HD_4","HD_40","HD_41","HD_42","HD_43","HD_44","HD_45","HD_46","HD_47","HD_48","HD_49","HD_5","HD_50","HD_51","HD_52","HD_53","HD_54","HD_55","HD_56","HD_57","HD_58","HD_59","HD_6","HD_60","HD_61","HD_62","HD_63","HD_64","HD_65","HD_66","HD_67","HD_68","HD_69","HD_7","HD_70","HD_71","HD_72","HD_73","HD_74","HD_75","HD_76","HD_77","HD_78","HD_79","HD_8","HD_80","HD_81","HD_82","HD_83","HD_84","HD_85","HD_86","HD_87","HD_88","HD_89","HD_9","HD_90","HD_91","HD_92","HD_93","HD_94","HD_95"
279.2255,0,0,0,0,0,0,23145212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61118248,0,0,0,17184698,0,0,111405720,0,24749656,0,0,0,0,0,0,444378.5625,0,0,0,0,0,0,0,0,3335341.25,0,0,0,31019534,45376420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52638148,0,60548060,0,0,0,0,0,0,4040310.5,0,0,83502920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60003240,0,0,14048449,0,0,0,0,1259052.875,0,0,53994580,0,0,0,0,0,7217795.5,51928.9375,0,0,0,44462368,0,0,0,0,0,0,0,0,0,5898792,0,33705832,0,52446224,84564408,0,0,16137342,0,0,0,0,0,0,0,0,57078232,25245082,0,0,0,0,0,0,0,0,0
279.231,0,0,0,0,0,0,0,0,0,0,276967.71875,162211648,0,0,0,0,0,0,52513228,0,0,24340826,0,0,1082351.75,0,84799232,92814680,0,0,0,73401856,0,0,0,0,0,0,0,0,108131168,0,0,0,105021512,0,141618016,0,0,0,0,0,0,33973068,0,0,0,0,0,0,0,0,0,0,0,0,0,36480068,0,0,0,0,0,0,158069632,0,0,0,0,0,0,0,0,0,0,0,0,98523520,0,0,0,0,0,0,0,18714464,0,0,0,99261528,0,819305.9375,21325626,0,90129904,0,0,0,0,3471118.75,0,0,59402648,0,0,0,0,0,0,0,0,53698640,0,0,0,0,0,0,0,0,0,0,0,0,0,68854912,0,0,0,0,870420.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11003218,0,0,0,0,57641284,0,0,0
279.2311,0,0,0,0,0,0,34119560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88830064,0,0,0,25078402,0,0,159636048,0,35873716,0,0,0,0,0,0,649520,0,0,0,0,0,0,0,0,4825349.5,0,0,0,45506656,66322808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76808880,0,87512800,0,0,0,0,0,0,5893615.5,0,0,121818224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87145592,0,0,20634272,0,0,0,0,1835531.875,0,0,78683816,0,0,0,0,0,10560042,78439.109375,0,0,0,64496168,0,0,0,0,0,0,0,0,0,8633794,0,49420256,0,77205232,124531632,0,0,23693706,0,0,0,0,0,0,0,0,83678936,36917796,0,0,0,0,0,0,0,0,0
279.2478,0,0,0,0,0,0,0,21755322,0,0,0,43055720,0,0,0,0,0,0,12909240,0,0,5973936,0,0,272526.84375,0,20625356,0,0,0,0,17953668,0,0,0,0,0,0,0,0,26958040,0,0,0,25829450,0,33256986,0,0,0,0,35081236,0,8457496,0,0,0,0,0,0,0,11268266,0,0,0,0,0,9391969,0,0,0,0,0,0,38839040,0,0,0,0,0,0,0,0,0,0,0,0,23742186,0,0,0,0,0,0,0,0,0,0,0,24184690,0,209147.34375,5316548,0,21866340,0,0,0,0,885758.0625,0,0,0,0,0,0,0,0,0,0,0,12697974,0,0,0,0,0,0,0,0,0,0,27624806,0,0,16767434,0,0,0,0,217935.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2687588.25,0,0,0,0,14309398,0,0,0
279.2534,0,0,0,0,0,0,0,6068565,0,0,0,12089789,0,0,0,0,0,0,3596272.75,0,0,1662786.875,0,3900745.5,75277.9609375,0,5743861,0,0,0,0,4988816,0,0,0,0,0,0,0,0,7522634.5,0,0,0,7196674,0,9253582,0,0,0,0,9751446,0,2367953.5,0,0,0,0,0,0,0,3142972,0,0,0,0,0,2627293.25,0,0,0,0,0,0,10861316,0,0,0,0,0,0,0,0,0,0,0,0,6605063.5,0,0,0,0,0,0,0,0,0,0,0,0,0,58400.10546875,1476766.25,0,6087084.5,0,0,0,0,248946.921875,0,0,0,0,0,0,0,0,0,0,0,3512537.75,0,0,0,0,0,0,0,0,0,0,7680737.5,0,0,4653452,0,0,0,0,60437.7734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750657.8125,0,0,0,0,3992308.75,0,0,0
283.2516,0,0,0,0,0,0,4749818,11830213,87979.984375,0,0,20174336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9575164,0,0,5316854,0,0,0,0,0,14495183,85105.21875,0,0,13745127,0,0,0,0,0,0,0,0,4659363.5,0,8835139,0,0,0,0,0,6099042,0,0,0,0,9155702,5123430.5,0,0,0,0,0,0,20776026,0,0,0,0,0,0,0,0,0,0,0,0,12965124,0,777489.625,0,0,0,0,0,0,0,0,0,13383245,0,0,0,0,12461656,0,0,0,0,461296.15625,0,0,0,0,0,0,0,0,0,0,0,7389024,0,0,0,0,0,0,0,0,0,0,15599068,0,0,9627182,0,0,0,0,117266.4921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9140315,0,0,0,1429957.125,0,0,0,0,7353532.5,0,0,0
283.2573,0,0,0,0,0,0,0,21519780,161869.109375,0,0,37314292,0,0,0,0,0,0,0,0,17448598,0,0,0,0,0,20974218,0,0,0,0,17321922,0,0,0,0,0,0,0,0,26467022,154157.375,0,0,0,0,0,0,0,0,0,35697276,0,8510437,0,0,0,0,0,0,0,11039335,0,0,0,0,16606651,9407404,0,0,0,0,0,0,37590160,0,0,16599410,0,0,0,0,0,0,0,0,0,23423388,0,1405881.5,0,0,0,0,0,0,0,0,0,24182338,0,0,5959495,0,22534026,0,0,0,0,845019.125,0,0,0,0,0,0,0,0,0,0,0,13211794,0,0,0,0,0,0,0,0,0,0,28269570,0,0,17451848,0,0,0,0,213355.734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16606183,0,0,0,2597161.25,0,0,0,0,0,0,0,0
283.2745,0,0,0,0,0,0,6239469.5,15311921,116360.3671875,0,0,27956102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12137865,0,0,6591713,0,0,0,0,0,18987840,108369.78125,0,0,17634442,0,0,0,0,0,0,0,0,6147888,0,11090484,0,0,0,0,0,7750200,0,0,0,0,11733282,6907086.5,0,0,0,0,0,0,26339876,0,0,0,0,0,0,0,0,0,0,0,0,16340634,0,983088.375,0,0,0,0,0,0,0,0,0,16965936,0,0,0,0,15782455,0,0,0,0,616274.5625,0,0,0,0,0,0,0,0,0,0,0,8992640,0,0,0,0,0,0,0,0,0,0,19978506,0,0,12316988,0,0,0,0,150170.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11811979,0,0,0,1844199,0,0,0,0,9488786,0,0,0
283.2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9380262,0,0,0,0,0,0,15389688,0,15728154,0,4372120.5,0,0,27115462,0,0,0,0,0,0,0,0,0,0,0,0,29367.736328125,0,0,0,0,824200.8125,0,0,0,8192238,0,0,0,0,0,0,0,0,8509052,0,0,0,0,0,8562316,0,0,0,0,0,0,0,0,0,0,0,0,14505104,0,0,0,0,0,33236716,0,0,0,21404226,0,0,3083748.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14331378,10207693,16576157,3782755.75,0,0,0,0,0,0,0,13667382,0,0,0,0,0,1806995.25,11301.94140625,0,0,0,11041601,0,0,0,0,0,0,0,0,0,1492037.375,0,0,0,14002203,0,0,0,4136570,0,0,0,0,0,0,0,0,15037791,6520426.5,0,0,0,0,0,0,0,0,0
202.0813,0,0,0,0,0,0,0,0,0,0,169533.5,0,0,0,0,0,261016.3125,0,0,2680907.5,5040858,0,0,0,152768.390625,0,0,0,158580.625,0,0,0,0,0,0,0,0,0,0,0,6524391,0,0,163911.78125,0,0,0,0,0,0,0,0,0,0,2362551,0,0,0,0,0,0,0,0,0,7042184.5,0,4015467,0,0,0,0,0,0,0,0,0,0,0,0,159252.09375,0,0,0,166980.125,0,0,0,0,0,0,0,0,0,0,0,1127634.25,0,0,0,5036861.5,0,0,0,143972.109375,5260412,0,0,0,0,0,0,0,0,0,1072733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3646126.25,0,0,0,0,136103.421875,337085.9375,0,0,0,0,0,4100336.75,6768579.5,0,0,0,0,0,0,0,0,0,0,0,0,2611725.25,582960.75,0,0,0,0,3986260,0,0,0
